Supplementary Table S1: List of all 576 raw LC-MS2 files processed in this study,,,,
,,,,
Source,Species,Tissue,LC-MS File,MSConvert to mzML
MSV000090572,bread wheat,stored_grain,pass07_list01_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list02_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list03_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list04_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list05_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list06_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list07_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list08_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list09_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass07_list10_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass01_rep1_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass01_rep2_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass02_rep2_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass02_rep1_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass02_rep3_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass03_rep1_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass03_rep2_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass04_rep1_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass04_rep2_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass05_rep1_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass05_rep2_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass06_rep1_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass06_rep2_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list01_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list01_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list01_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list01_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list02_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list02_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list02_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list02_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list03_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list03_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list03_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list03_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list04_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list04_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list04_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list04_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list05_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list05_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list05_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list05_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list06_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list06_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list06_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list06_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list07_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list07_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list07_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list07_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list08_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list08_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list08_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list08_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list09_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list09_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list09_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list09_0.2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass08_list10_2mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass09_list10_1mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass10_list10_0.5mz.raw,yes
MSV000090572,bread wheat,stored_grain,pass11_list10_0.2mz.raw,yes
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-10_30-1_Slot1-34_1_750.d,no
PXD050500,bread wheat,coleoptile,230301-RD-Germ-Trypsin-lys-cHPLC-10_30-2_Slot1-34_1_766.d,no
