Index,Source,Species,Tissue,Batch,FragPipe_result,Contaminant,Protein,Protein ID,Entry Name,Gene,Length,Is Decoy,Is Contaminant,Organism,Protein Description,Protein Existence,Coverage,Protein Probability,Top Peptide Probability,Protein Qvalue,Total Peptides,Unique Peptides,Razor Peptides,Total Spectral Count,Unique Spectral Count,Razor Spectral Count,Total Intensity,Unique Intensity,Razor Intensity,Razor Assigned Modifications,Razor Observed Modifications,Indistinguishable Proteins
1,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0203500.1,TraesCS1A03G0203500.1,TraesCS1A03G0203500.1,,347,False,False,,TraesCS1A03G0203500.1,,17.29,1.0,0.999,0.0,2,0,1,21,0,11,0,0,0,,,TraesCS1B03G0271900.1
2,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0235000.1,TraesCS1A03G0235000.1,TraesCS1A03G0235000.1,,367,False,False,,TraesCS1A03G0235000.1,,12.26,1.0,0.999,0.0,2,0,2,8,0,8,0,0,0,,,"TraesCS1B03G0343800.1, TraesCS1D03G0251500.1"
3,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0295000.3,TraesCS1A03G0295000.3,TraesCS1A03G0295000.3,,765,False,False,,TraesCS1A03G0295000.3,,6.41,1.0,0.999,0.0,3,0,3,4,0,4,0,0,0,,,"TraesCS1A03G0295000.4, TraesCS1B03G0380000.1, TraesCS1B03G0380000.2, TraesCS1D03G0287300.1"
4,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0428400.1,TraesCS1A03G0428400.1,TraesCS1A03G0428400.1,,889,False,False,,TraesCS1A03G0428400.1,,7.09,1.0,0.9989,0.0,3,0,3,4,0,4,0,0,0,N-term(42.0106),,"TraesCS1B03G0517800.1, TraesCS1D03G0404500.1"
5,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0429500.1,TraesCS1A03G0429500.1,TraesCS1A03G0429500.1,,169,False,False,,TraesCS1A03G0429500.1,,36.09,1.0,0.999,0.0,2,0,2,3,0,3,0,0,0,,,"TraesCS1A03G0429500.2, TraesCS1B03G0521200.1"
6,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0473200.1,TraesCS1A03G0473200.1,TraesCS1A03G0473200.1,,602,False,False,,TraesCS1A03G0473200.1,,40.86,1.0,0.999,0.0,10,8,8,26,22,22,0,0,0,5M(15.9949),,
7,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0585700.1,TraesCS1A03G0585700.1,TraesCS1A03G0585700.1,,222,False,False,,TraesCS1A03G0585700.1,,39.19,1.0,0.999,0.0,3,0,3,12,0,12,0,0,0,"19M(15.9949), N-term(42.0106)",,"TraesCS1B03G0678100.1, TraesCS1D03G0556800.1"
8,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0585900.1,TraesCS1A03G0585900.1,TraesCS1A03G0585900.1,,394,False,False,,TraesCS1A03G0585900.1,,8.12,1.0,0.9989,0.0,2,0,2,3,0,3,0,0,0,,,TraesCS1D03G0557500.1
9,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0586500.1,TraesCS1A03G0586500.1,TraesCS1A03G0586500.1,,93,False,False,,TraesCS1A03G0586500.1,,29.03,1.0,0.9988,0.0,2,0,2,11,0,11,0,0,0,,,"TraesCS1A03G0586900.1, TraesCS1D03G0558000.1"
10,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0718600.1,TraesCS1A03G0718600.1,TraesCS1A03G0718600.1,,648,False,False,,TraesCS1A03G0718600.1,,19.75,1.0,0.999,0.0,6,0,6,20,0,20,0,0,0,1M(15.9949),,TraesCS1A03G0718600.2
11,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0738000.1,TraesCS1A03G0738000.1,TraesCS1A03G0738000.1,,165,False,False,,TraesCS1A03G0738000.1,,27.27,1.0,0.999,0.0,3,0,3,6,0,6,0,0,0,,,TraesCS1D03G0703900.1
12,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0854400.1,TraesCS1A03G0854400.1,TraesCS1A03G0854400.1,,398,False,False,,TraesCS1A03G0854400.1,,8.29,1.0,0.999,0.0,2,0,2,2,0,2,0,0,0,,,"TraesCS1B03G0988300.1, TraesCS1D03G0824900.1"
13,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0873700.1,TraesCS1A03G0873700.1,TraesCS1A03G0873700.1,,501,False,False,,TraesCS1A03G0873700.1,,3.79,1.0,0.999,0.0,1,0,1,3,0,3,0,0,0,12M(15.9949),,"TraesCS1B03G1017900.1, TraesCS1D03G0848100.1"
14,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0881600.1,TraesCS1A03G0881600.1,TraesCS1A03G0881600.1,,579,False,False,,TraesCS1A03G0881600.1,,5.35,1.0,0.9987,0.0,2,0,2,10,0,10,0,0,0,,,"TraesCS1B03G1029600.1, TraesCS1D03G0855200.1"
15,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0887200.1,TraesCS1A03G0887200.1,TraesCS1A03G0887200.1,,191,False,False,,TraesCS1A03G0887200.1,,52.36,1.0,0.999,0.0,7,0,2,40,0,16,0,0,0,9M(15.9949),,TraesCS1A03G0887200.2
16,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0915700.1,TraesCS1A03G0915700.1,TraesCS1A03G0915700.1,,553,False,False,,TraesCS1A03G0915700.1,,10.85,1.0,0.999,0.0,3,0,3,10,0,10,0,0,0,,,"TraesCS1B03G1079500.1, TraesCS1B03G1079500.2, TraesCS1D03G0895200LC.1, TraesCS3A03G0671500.1, TraesCS3B03G0767600.1, TraesCS3D03G0613600.2"
17,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0948700.1,TraesCS1A03G0948700.1,TraesCS1A03G0948700.1,,465,False,False,,TraesCS1A03G0948700.1,,8.6,1.0,0.999,0.0,2,0,2,3,0,3,0,0,0,,,"TraesCS1B03G1123800.1, TraesCS1D03G0923600.1"
18,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0956200.1,TraesCS1A03G0956200.1,TraesCS1A03G0956200.1,,153,False,False,,TraesCS1A03G0956200.1,,12.42,1.0,0.999,0.0,1,0,1,4,0,4,0,0,0,18M(15.9949),,"TraesCS1D03G0931800.1, TraesCS3A03G0689600.1, TraesCS3B03G0784900.1, TraesCS3D03G0626700.1, TraesCS5A03G0480900.1, TraesCS5B03G0079300LC.1, TraesCS5B03G0479800.2, TraesCS5D03G0444000.2"
19,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0974500.1,TraesCS1A03G0974500.1,TraesCS1A03G0974500.1,,178,False,False,,TraesCS1A03G0974500.1,,10.11,1.0,0.999,0.0,1,0,1,4,0,4,0,0,0,"11M(15.9949), 15M(15.9949)",,"TraesCS1B03G1157600.1, TraesCS1D03G0946100.1"
20,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0990000.1,TraesCS1A03G0990000.1,TraesCS1A03G0990000.1,,509,False,False,,TraesCS1A03G0990000.1,,9.63,1.0,0.999,0.0,3,0,3,6,0,6,0,0,0,16M(15.9949),,"TraesCS1B03G1171700.1, TraesCS1D03G0956000.2"
21,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G0995700.1,TraesCS1A03G0995700.1,TraesCS1A03G0995700.1,,288,False,False,,TraesCS1A03G0995700.1,,11.81,1.0,0.999,0.0,2,0,2,3,0,3,0,0,0,,,"TraesCS4A03G0857000.1, TraesCS5B03G1281100.1, TraesCS5D03G1149900.1"
22,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1A03G1008400.2,TraesCS1A03G1008400.2,TraesCS1A03G1008400.2,,341,False,False,,TraesCS1A03G1008400.2,,16.13,1.0,0.999,0.0,2,0,2,4,0,4,0,0,0,,,"TraesCS1B03G1190400.1, TraesCS1D03G0971000.1"
23,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G0597400.1,TraesCS1B03G0597400.1,TraesCS1B03G0597400.1,,633,False,False,,TraesCS1B03G0597400.1,,38.7,1.0,0.999,0.0,10,0,6,17,0,6,0,0,0,5M(15.9949),,
24,PXD004720,bread wheat,embryo,single,protein,no,TraesCS1B03G0819300.1,TraesCS1B03G0819300.1,TraesCS1B03G0819300.1,,648,False,False,,TraesCS1B03G0819300.1,,19.75,1.0,0.9989,0.0,6,0,1,18,0,8,0,0,0,1M(15.9949),,"TraesCS1D03G0681300.1, TraesCS1D03G0681300.2"
