Original_file,Apollo_file,Source,Tissue,TrackType,Suffix
FragPipe_allauthors_allsources_alltissues_ChrUnknown_nonredundant_validated_peptides.bed12,Vincent_allsources_ChrUnknown_nonredundant_proteogenomics_validated_20260805.bed12,allsources,ChrUnknown_nonredundant,annotation_ChrUnknown_nonredundant,bed12
FragPipe_allauthors_allsources_alltissues_ChrUnknown_nonredundant_validated_peptides.bed6,Vincent_allsources_ChrUnknown_nonredundant_proteogenomics_validated_20260805.bed6,allsources,ChrUnknown_nonredundant,annotation_ChrUnknown_nonredundant,bed6
FragPipe_allauthors_allsources_alltissues_nonredundant_validated_peptides.bed12,Vincent_allsources_alltissues_nonredundant_nonredundant_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,allsources,alltissues_nonredundant,annotation_nonredundant,bed12
FragPipe_allauthors_allsources_alltissues_nonredundant_validated_peptides.bed6,Vincent_allsources_alltissues_nonredundant_nonredundant_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,allsources,alltissues_nonredundant,annotation_nonredundant,bed6
FragPipe_Duncan_PXD004720_anther_validated_peptides.bed12,Vincent_PXD004720_anther_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,anther,annotation_validated,bed12
FragPipe_Duncan_PXD004720_anther_validated_peptides.bed6,Vincent_PXD004720_anther_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,anther,annotation_validated,bed6
FragPipe_Duncan_PXD004720_boot_validated_peptides.bed12,Vincent_PXD004720_boot_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,boot,annotation_validated,bed12
FragPipe_Duncan_PXD004720_boot_validated_peptides.bed6,Vincent_PXD004720_boot_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,boot,annotation_validated,bed6
FragPipe_Duncan_PXD004720_coleoptile_validated_peptides.bed12,Vincent_PXD004720_coleoptile_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,coleoptile,annotation_validated,bed12
FragPipe_Duncan_PXD004720_coleoptile_validated_peptides.bed6,Vincent_PXD004720_coleoptile_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,coleoptile,annotation_validated,bed6
FragPipe_Duncan_PXD004720_embryo_validated_peptides.bed12,Vincent_PXD004720_embryo_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,embryo,annotation_validated,bed12
FragPipe_Duncan_PXD004720_embryo_validated_peptides.bed6,Vincent_PXD004720_embryo_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,embryo,annotation_validated,bed6
FragPipe_Duncan_PXD004720_endosperm_validated_peptides.bed12,Vincent_PXD004720_endosperm_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,endosperm,annotation_validated,bed12
FragPipe_Duncan_PXD004720_endosperm_validated_peptides.bed6,Vincent_PXD004720_endosperm_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,endosperm,annotation_validated,bed6
FragPipe_Duncan_PXD004720_glume_validated_peptides.bed12,Vincent_PXD004720_glume_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,glume,annotation_validated,bed12
FragPipe_Duncan_PXD004720_glume_validated_peptides.bed6,Vincent_PXD004720_glume_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,glume,annotation_validated,bed6
FragPipe_Duncan_PXD004720_grain-zadoks-70_validated_peptides.bed12,Vincent_PXD004720_grain_zadoks_70_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,grain_zadoks_70,annotation_validated,bed12
FragPipe_Duncan_PXD004720_grain-zadoks-70_validated_peptides.bed6,Vincent_PXD004720_grain_zadoks_70_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,grain_zadoks_70,annotation_validated,bed6
FragPipe_Duncan_PXD004720_grain-zadoks-71_validated_peptides.bed12,Vincent_PXD004720_grain_zadoks_71_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,grain_zadoks_71,annotation_validated,bed12
FragPipe_Duncan_PXD004720_grain-zadoks-71_validated_peptides.bed6,Vincent_PXD004720_grain_zadoks_71_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,grain_zadoks_71,annotation_validated,bed6
FragPipe_Duncan_PXD004720_grain-zadoks-75_validated_peptides.bed12,Vincent_PXD004720_grain_zadoks_75_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,grain_zadoks_75,annotation_validated,bed12
FragPipe_Duncan_PXD004720_grain-zadoks-75_validated_peptides.bed6,Vincent_PXD004720_grain_zadoks_75_projected-peptides_annotation-proteogenomics_validated_20260805.bed6,PXD004720,grain_zadoks_75,annotation_validated,bed6
FragPipe_Duncan_PXD004720_grain-zadoks-83_validated_peptides.bed12,Vincent_PXD004720_grain_zadoks_83_projected-peptides_annotation-proteogenomics_validated_20260805.bed12,PXD004720,grain_zadoks_83,annotation_validated,bed12
