Source,Species,Tissue,Batch,Projection_file,BED6_file,BED12_file,Rows_in_step11_sanity_file,Rows_passing_all_sanity_checks,Rows_excluded_by_sanity_checks,Rows_dropped_missing_BED_fields,BED_rows,Unique_BED_peptides,Unique_BED_proteins,Unique_BED_gene_models,Multi_block_peptides,Within_exon_peptides,Intron_spanning_BED_rows,Within_exon_BED_rows,Unique_intron_spanning_peptides,Unique_within_exon_peptides,BED_labels_with_introns,Percent_sanity_passed,Percent_exported_to_BED
MSV000090572,bread wheat,stored_grain,single,FragPipe_Vincent_MSV000090572_stored-grain_peptide_genome_projection.csv,FragPipe_Vincent_MSV000090572_stored-grain_validated_peptides.bed6,FragPipe_Vincent_MSV000090572_stored-grain_validated_peptides.bed12,29892,29892,0,0,29892,9126,17110,14536,3262,26630,3262,26630,1082,8075,1805,100.0,100.0
PXD050500,bread wheat,coleoptile,single,FragPipe_Liu_PXD050500_coleoptile_peptide_genome_projection.csv,FragPipe_Liu_PXD050500_coleoptile_validated_peptides.bed6,FragPipe_Liu_PXD050500_coleoptile_validated_peptides.bed12,1829196,1829196,0,0,1829196,574831,233744,206142,227461,1601735,227461,1601735,65152,511674,121858,100.0,100.0
PXD050500,bread wheat,node,single,FragPipe_Liu_PXD050500_node_peptide_genome_projection.csv,FragPipe_Liu_PXD050500_node_validated_peptides.bed6,FragPipe_Liu_PXD050500_node_validated_peptides.bed12,1864415,1864415,0,0,1864415,587392,237191,209468,234600,1629815,234600,1629815,66853,522581,126430,100.0,100.0
PXD050500,bread wheat,radicle,single,FragPipe_Liu_PXD050500_radicle_peptide_genome_projection.csv,FragPipe_Liu_PXD050500_radicle_validated_peptides.bed6,FragPipe_Liu_PXD050500_radicle_validated_peptides.bed12,1050178,1050178,0,0,1050178,328566,201263,175179,117686,932492,117686,932492,34041,295733,62041,100.0,100.0
PXD004720,bread wheat,anther,single,FragPipe_Duncan_PXD004720_anther_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_anther_validated_peptides.bed6,FragPipe_Duncan_PXD004720_anther_validated_peptides.bed12,163467,163467,0,0,163467,33982,36275,28845,27708,135759,27708,135759,6317,27896,16117,100.0,100.0
PXD004720,bread wheat,boot,single,FragPipe_Duncan_PXD004720_boot_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_boot_validated_peptides.bed6,FragPipe_Duncan_PXD004720_boot_validated_peptides.bed12,13137,13137,0,0,13137,3599,9126,7279,2723,10414,2723,10414,712,2899,1535,100.0,100.0
PXD004720,bread wheat,coleoptile,single,FragPipe_Duncan_PXD004720_coleoptile_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_coleoptile_validated_peptides.bed6,FragPipe_Duncan_PXD004720_coleoptile_validated_peptides.bed12,203264,203264,0,0,203264,40861,45819,36208,31278,171986,31278,171986,6794,34380,18631,100.0,100.0
PXD004720,bread wheat,embryo,single,FragPipe_Duncan_PXD004720_embryo_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_embryo_validated_peptides.bed6,FragPipe_Duncan_PXD004720_embryo_validated_peptides.bed12,8742,8742,0,0,8742,2815,7110,5749,1407,7335,1407,7335,385,2444,758,100.0,100.0
PXD004720,bread wheat,endosperm,single,FragPipe_Duncan_PXD004720_endosperm_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_endosperm_validated_peptides.bed6,FragPipe_Duncan_PXD004720_endosperm_validated_peptides.bed12,102289,102289,0,0,102289,19953,27099,21529,14237,88052,14237,88052,3068,17038,7947,100.0,100.0
PXD004720,bread wheat,glume,single,FragPipe_Duncan_PXD004720_glume_peptide_genome_projection.csv,FragPipe_Duncan_PXD004720_glume_validated_peptides.bed6,FragPipe_Duncan_PXD004720_glume_validated_peptides.bed12,144079,144079,0,0,144079,28512,35014,28205,22077,122002,22077,122002,5086,23657,12720,100.0,100.0
