Source,Tissue,Source_Tissue,HC_unique_proteins,LC_unique_proteins,Total_unique_proteins,HC_unique_gene_models,LC_unique_gene_models,Total_unique_gene_models,HC_unique_peptides,LC_unique_peptides,Total_unique_peptides,Validated_BED_rows,Multi_exon_peptide_rows,Within_exon_peptide_rows,Unique_chromosomes,HC_protein_percent,LC_protein_percent,Total_protein_percent,HC_gene_model_percent,LC_gene_model_percent,Total_gene_model_percent
PXD004720,embryo,PXD004720_embryo,5534,1576,7110,4204,1545,5749,2160,866,2815,8742,1407,7335,22,1.870137945484161,0.5325871705968626,2.4027251160810237,3.9321323680715343,0.9666036862323103,2.155185340690979
PXD004720,boot,PXD004720_boot,7219,1907,9126,5415,1864,7279,2877,1009,3599,13137,2723,10414,22,2.4395601424738267,0.6444439938630818,3.0840041363369086,5.064818452213929,1.1661807580174928,2.728751799424184
MSV000090572,stored_grain,MSV000090572_stored_grain,11604,5506,17110,9126,5410,14536,6375,3379,9126,29892,3262,26630,22,3.9214095987347672,1.8606757368694957,5.782085335604263,8.535832538301813,3.3846769854477663,5.449256238003839
PXD004720,pollen,PXD004720_pollen,15974,3757,19731,12172,3694,15866,12487,2712,13446,74334,9467,64867,22,5.398190014666423,1.2696256344748813,6.667815649141305,11.384851375872195,2.3110899786033356,5.947846689059501
PXD004720,leaf-flag-senescing,PXD004720_leaf-flag-senescing,18636,6639,25275,14335,6507,20842,8792,3543,11204,45680,4552,41128,22,6.29777570510351,2.243557249741479,8.54133295484499,13.407972763155435,4.0709968843454,7.813249760076775
PXD004720,palea,PXD004720_palea,22101,5194,27295,16391,5112,21503,20177,3924,21623,116285,20637,95648,22,7.4687240211683115,1.7552396980203708,9.223963719188683,15.331013711955405,3.1982382161938965,8.061045465451055
PXD004720,endosperm,PXD004720_endosperm,21497,5602,27099,16036,5493,21529,18132,3999,19953,102289,14237,88052,22,7.264610663909108,1.8931175949769188,9.157728258886028,14.998971135679144,3.436604562119146,8.070792346449137
PXD004720,stem,PXD004720_stem,22190,6758,28948,16618,6600,23218,11554,4037,14177,60181,6927,53254,22,7.49880032712207,2.2837716363538054,9.782571963475876,15.543333894532054,4.1291807955554996,8.70396473128599
PXD004720,root-vasculature,PXD004720_root-vasculature,24874,5449,30323,18192,5320,23512,19168,3741,20728,111315,14786,96529,22,8.405820610042108,1.8414133836182134,10.24723399366032,17.015545204556933,3.3283699745992816,8.814179462571976
PXD004720,root-secretion,PXD004720_root-secretion,25091,6566,31657,18683,6443,25126,18188,4941,21111,100085,15505,84580,22,8.479152726805761,2.2188879201389593,10.69804064694472,17.474792824139026,4.030956343297589,9.419235844529751
