Peptide_length,Unique_peptide_rows,Spectral_count,Source_tissue_analyses_with_at_least_one_peptide
7,132236,387286,32
8,168926,673734,32
9,187284,868511,32
10,191225,1007879,32
11,186997,1032467,32
12,172848,1030295,32
13,156331,951201,32
14,140547,907598,32
15,126169,883444,32
16,111108,791335,32
17,96361,685286,32
18,83226,588810,32
19,72968,540426,32
20,64480,515283,32
21,56959,406498,32
22,48426,362773,32
23,40474,294026,32
24,33282,233946,32
25,26341,181994,32
26,21310,149698,32
27,18262,135318,32
28,15129,103209,32
29,12284,74188,32
30,10256,61152,32
31,8890,55811,32
32,7381,41836,32
33,6161,31765,32
34,5275,27066,32
35,4791,22893,32
36,3842,18718,32
37,3443,16076,32
38,2749,27222,32
39,2580,12020,32
40,2114,9954,32
41,1479,5740,32
42,1327,6146,32
43,1046,3763,30
44,779,2632,32
45,832,2817,31
46,666,2274,31
47,477,1984,28
48,407,1767,26
49,316,729,26
50,309,679,24
51,267,837,26
52,171,681,22
53,156,427,22
54,155,764,26
55,126,604,22
56,79,180,20
57,85,290,21
58,59,270,15
59,47,97,12
60,42,98,18
61,54,1366,22
62,41,386,15
63,27,130,15
64,41,206,17
65,14,18,10
66,28,166,17
67,3,6,3
68,6,6,5
69,5,5,4
70,3,3,2
71,3,9,3
72,1,1,1
73,4,26,4
74,3,3,3
75,1,1,1
76,2,2,1
77,2,2,2
78,3,6,3
79,1,1,1
81,1,1,1
87,1,1,1
