Source,Tissue,Source_tissue,Source_file,Input_rows,Retained_nondecoy_noncontaminant_peptides,Peptides_with_more_than_2_missed_cleavages,Percent_with_more_than_2_missed_cleavages,Peptides_longer_than_50_AA,Percent_longer_than_50_AA,Peptides_satisfying_both_criteria,Percent_satisfying_both_criteria,Maximum_missed_cleavages,Maximum_peptide_length_AA,Total_spectral_count
PXD004720,anther,PXD004720 | anther,FragPipe_Duncan_PXD004720_anther_peptide.tsv,34203,34203,2368,6.9233692950910735,65,0.19004180919802358,50,0.14618600707540275,10,67,164443
PXD004720,boot,PXD004720 | boot,FragPipe_Duncan_PXD004720_boot_peptide.tsv,3644,3644,326,8.946212952799122,19,0.5214050493962679,11,0.3018660812294182,9,78,6071
PXD004720,coleoptile,PXD004720 | coleoptile,FragPipe_Duncan_PXD004720_coleoptile_peptide.tsv,41126,41126,885,2.1519233574867482,30,0.0729465544910762,18,0.043767932694645725,9,65,159353
PXD004720,embryo,PXD004720 | embryo,FragPipe_Duncan_PXD004720_embryo_peptide.tsv,2868,2868,202,7.04323570432357,9,0.3138075313807531,5,0.17433751743375175,8,62,4603
PXD004720,endosperm,PXD004720 | endosperm,FragPipe_Duncan_PXD004720_endosperm_peptide.tsv,20174,20174,284,1.4077525527907206,27,0.13383563001883614,10,0.0495687518588282,10,87,77601
PXD004720,glume,PXD004720 | glume,FragPipe_Duncan_PXD004720_glume_peptide.tsv,28683,28683,1275,4.445141721577241,77,0.2684516961266255,50,0.17431928319910747,10,78,147049
PXD004720,grain-zadoks-70,PXD004720 | grain-zadoks-70,FragPipe_Duncan_PXD004720_grain-zadoks-70_peptide.tsv,26229,26229,290,1.1056464218994242,27,0.10293949445270502,14,0.05337603416066186,9,70,104545
PXD004720,grain-zadoks-71,PXD004720 | grain-zadoks-71,FragPipe_Duncan_PXD004720_grain-zadoks-71_peptide.tsv,35990,35990,315,0.8752431230897472,3,0.008335648791330925,1,0.0027785495971103086,8,57,133472
PXD004720,grain-zadoks-75,PXD004720 | grain-zadoks-75,FragPipe_Duncan_PXD004720_grain-zadoks-75_peptide.tsv,27552,27552,160,0.5807200929152149,1,0.003629500580720093,0,0.0,9,51,93099
PXD004720,grain-zadoks-83,PXD004720 | grain-zadoks-83,FragPipe_Duncan_PXD004720_grain-zadoks-83_peptide.tsv,24051,24051,184,0.7650409546380608,8,0.033262650201654816,5,0.02078915637603426,9,73,86569
PXD004720,grain-zadoks-87,PXD004720 | grain-zadoks-87,FragPipe_Duncan_PXD004720_grain-zadoks-87_peptide.tsv,24674,24674,275,1.114533517062495,13,0.05268703898840885,3,0.012158547458863581,10,66,91205
PXD004720,leaf-flag-mature,PXD004720 | leaf-flag-mature,FragPipe_Duncan_PXD004720_leaf-flag-mature_peptide.tsv,29941,29941,218,0.7280985939013394,3,0.010019705420660633,2,0.006679803613773755,7,66,79872
PXD004720,leaf-flag-senescing,PXD004720 | leaf-flag-senescing,FragPipe_Duncan_PXD004720_leaf-flag-senescing_peptide.tsv,11394,11394,239,2.0975952255573107,1,0.00877654906090925,1,0.00877654906090925,7,56,29276
PXD004720,leaf-flag-young,PXD004720 | leaf-flag-young,FragPipe_Duncan_PXD004720_leaf-flag-young_peptide.tsv,23441,23441,195,0.8318757732178661,6,0.025596177637472805,6,0.025596177637472805,8,77,60972
PXD004720,lemma,PXD004720 | lemma,FragPipe_Duncan_PXD004720_lemma_peptide.tsv,29842,29842,594,1.9904832115809932,26,0.08712552777963943,18,0.06031767307821192,10,71,131599
PXD004720,node-secretion,PXD004720 | node-secretion,FragPipe_Duncan_PXD004720_node-secretion_peptide.tsv,34194,34194,242,0.7077265017254489,4,0.011697958706205767,2,0.0058489793531028835,9,79,85168
PXD004720,node,PXD004720 | node,FragPipe_Duncan_PXD004720_node_peptide.tsv,21508,21508,462,2.1480379393713966,4,0.018597731076808628,2,0.009298865538404314,8,63,69197
PXD004720,palea,PXD004720 | palea,FragPipe_Duncan_PXD004720_palea_peptide.tsv,21774,21774,2186,10.039496647377605,72,0.3306696059520529,51,0.2342243042160375,10,77,106814
PXD004720,pericarp,PXD004720 | pericarp,FragPipe_Duncan_PXD004720_pericarp_peptide.tsv,28448,28448,1081,3.799915635545557,70,0.24606299212598426,35,0.12303149606299213,10,74,122800
PXD004720,pollen,PXD004720 | pollen,FragPipe_Duncan_PXD004720_pollen_peptide.tsv,13593,13593,259,1.9053924814242624,27,0.19863164864268373,9,0.06621054954756124,10,78,61206
PXD004720,rachilla,PXD004720 | rachilla,FragPipe_Duncan_PXD004720_rachilla_peptide.tsv,31213,31213,1659,5.315093070195111,53,0.16980104443661295,34,0.10892897190273283,10,81,147229
PXD004720,radicle,PXD004720 | radicle,FragPipe_Duncan_PXD004720_radicle_peptide.tsv,39704,39704,1486,3.7426959500302237,39,0.09822687890388877,18,0.04533548257102559,9,66,152610
PXD004720,root-mature,PXD004720 | root-mature,FragPipe_Duncan_PXD004720_root-mature_peptide.tsv,21390,21390,1434,6.704067321178121,12,0.056100981767180924,8,0.03740065451145395,10,61,57758
PXD004720,root-secretion,PXD004720 | root-secretion,FragPipe_Duncan_PXD004720_root-secretion_peptide.tsv,21329,21329,1757,8.237610764686577,26,0.12189976088893056,20,0.0937690468376389,10,64,37901
PXD004720,root-tip,PXD004720 | root-tip,FragPipe_Duncan_PXD004720_root-tip_peptide.tsv,38681,38681,1351,3.492670820299372,47,0.12150668286755771,29,0.07497220857785476,10,68,152978
PXD004720,root-vasculature,PXD004720 | root-vasculature,FragPipe_Duncan_PXD004720_root-vasculature_peptide.tsv,20911,20911,737,3.5244608100999475,7,0.03347520443785568,1,0.00478217206255081,9,62,80342
PXD004720,spike-immature,PXD004720 | spike-immature,FragPipe_Duncan_PXD004720_spike-immature_peptide.tsv,36414,36414,3108,8.53517877739331,83,0.22793431097929368,61,0.16751798758719175,10,74,157490
PXD004720,stem,PXD004720 | stem,FragPipe_Duncan_PXD004720_stem_peptide.tsv,14389,14389,277,1.9250816596010842,2,0.013899506567516854,2,0.013899506567516854,10,64,37757
PXD050500,coleoptile,PXD050500 | coleoptile,FragPipe_Liu_PXD050500_coleoptile_peptide.tsv,583184,583184,14721,2.5242462070289995,165,0.028292957282778676,64,0.010974237976350517,10,74,4407357
PXD050500,node,PXD050500 | node,FragPipe_Liu_PXD050500_node_peptide.tsv,596437,596437,15804,2.6497350097327965,301,0.05046635269106377,137,0.022969735277992478,10,73,3839535
PXD050500,radicle,PXD050500 | radicle,FragPipe_Liu_PXD050500_radicle_peptide.tsv,333400,333400,5371,1.610977804439112,142,0.04259148170365927,59,0.01769646070785843,10,75,2245698
MSV000090572,stored-grain,MSV000090572 | stored-grain,FragPipe_Vincent_MSV000090572_stored-grain_peptide.tsv,9343,9343,1801,19.276463662635127,62,0.6635984159263619,47,0.5030504120732099,10,65,33273
