Source,Species,Tissue,Batch,Genome_projection_file,Peptide_protein_gene_rows,Projected_rows,Unprojected_rows,Projection_rate_percent,Unique_projected_peptides,Unique_projected_proteins,Unique_projected_gene_models,Peptides_crossing_CDS_blocks,Peptides_with_intron_gapped_label
MSV000090572,bread wheat,stored_grain,single,FragPipe_Vincent_MSV000090572_stored-grain_peptide_genome_projection.csv,30314,30314,0,100,9329,17478,,3291,1828
PXD050500,bread wheat,coleoptile,single,FragPipe_Liu_PXD050500_coleoptile_peptide_genome_projection.csv,1850136,1850136,0,100,582775,239461,,228372,122385
PXD050500,bread wheat,node,single,FragPipe_Liu_PXD050500_node_peptide_genome_projection.csv,1886922,1886922,0,100,595954,242813,,235642,127047
PXD050500,bread wheat,radicle,single,FragPipe_Liu_PXD050500_radicle_peptide_genome_projection.csv,1062508,1062508,0,100,333058,206016,,118195,62337
PXD004720,bread wheat,anther,single,FragPipe_Duncan_PXD004720_anther_peptide_genome_projection.csv,164365,164365,0,100,34098,36826,,27776,16150
PXD004720,bread wheat,boot,single,FragPipe_Duncan_PXD004720_boot_peptide_genome_projection.csv,13227,13227,0,100,3643,9208,,2728,1537
PXD004720,bread wheat,coleoptile,single,FragPipe_Duncan_PXD004720_coleoptile_peptide_genome_projection.csv,204476,204476,0,100,41025,46496,,31344,18679
PXD004720,bread wheat,embryo,single,FragPipe_Duncan_PXD004720_embryo_peptide_genome_projection.csv,8852,8852,0,100,2867,7220,,1411,760
PXD004720,bread wheat,endosperm,single,FragPipe_Duncan_PXD004720_endosperm_peptide_genome_projection.csv,102830,102830,0,100,20081,27454,,14269,7971
PXD004720,bread wheat,glume,single,FragPipe_Duncan_PXD004720_glume_peptide_genome_projection.csv,145133,145133,0,100,28648,35540,,22131,12759
PXD004720,bread wheat,grain-zadoks-70,single,FragPipe_Duncan_PXD004720_grain-zadoks-70_peptide_genome_projection.csv,126195,126195,0,100,26196,35532,,17478,9892
PXD004720,bread wheat,grain-zadoks-71,single,FragPipe_Duncan_PXD004720_grain-zadoks-71_peptide_genome_projection.csv,179725,179725,0,100,35960,47076,,27658,15967
PXD004720,bread wheat,grain-zadoks-75,single,FragPipe_Duncan_PXD004720_grain-zadoks-75_peptide_genome_projection.csv,132701,132701,0,100,27463,41029,,18650,10504
PXD004720,bread wheat,grain-zadoks-83,single,FragPipe_Duncan_PXD004720_grain-zadoks-83_peptide_genome_projection.csv,113203,113203,0,100,23990,36635,,14734,8452
PXD004720,bread wheat,grain-zadoks-87,single,FragPipe_Duncan_PXD004720_grain-zadoks-87_peptide_genome_projection.csv,111792,111792,0,100,24636,34874,,14886,8402
PXD004720,bread wheat,leaf-flag-mature,single,FragPipe_Duncan_PXD004720_leaf-flag-mature_peptide_genome_projection.csv,145632,145632,0,100,29840,37954,,19448,11285
PXD004720,bread wheat,leaf-flag-senescing,single,FragPipe_Duncan_PXD004720_leaf-flag-senescing_peptide_genome_projection.csv,46200,46200,0,100,11354,25696,,4572,2415
PXD004720,bread wheat,leaf-flag-young,single,FragPipe_Duncan_PXD004720_leaf-flag-young_peptide_genome_projection.csv,120821,120821,0,100,23373,32620,,15227,8981
PXD004720,bread wheat,lemma,single,FragPipe_Duncan_PXD004720_lemma_peptide_genome_projection.csv,147618,147618,0,100,29788,37927,,21753,12440
PXD004720,bread wheat,node,single,FragPipe_Duncan_PXD004720_node_peptide_genome_projection.csv,99823,99823,0,100,21457,36542,,12765,7108
PXD004720,bread wheat,node_secretion,single,FragPipe_Duncan_PXD004720_node-secretion_peptide_genome_projection.csv,169675,169675,0,100,34124,42356,,22888,13292
PXD004720,bread wheat,palea,single,FragPipe_Duncan_PXD004720_palea_peptide_genome_projection.csv,116936,116936,0,100,21707,27580,,20681,12105
PXD004720,bread wheat,pericarp,single,FragPipe_Duncan_PXD004720_pericarp_peptide_genome_projection.csv,131215,131215,0,100,28332,32667,,20964,11953
PXD004720,bread wheat,pollen,single,FragPipe_Duncan_PXD004720_pollen_peptide_genome_projection.csv,74698,74698,0,100,13502,19931,,9490,5338
PXD004720,bread wheat,rachilla,single,FragPipe_Duncan_PXD004720_rachilla_peptide_genome_projection.csv,160204,160204,0,100,31145,37204,,24784,14463
PXD004720,bread wheat,radicle,single,FragPipe_Duncan_PXD004720_radicle_peptide_genome_projection.csv,194694,194694,0,100,39643,42965,,32499,19061
PXD004720,bread wheat,root-mature,single,FragPipe_Duncan_PXD004720_root-mature_peptide_genome_projection.csv,97188,97188,0,100,21350,39156,,10898,6135
PXD004720,bread wheat,root-secretion,single,FragPipe_Duncan_PXD004720_root-secretion_peptide_genome_projection.csv,100639,100639,0,100,21284,32046,,15547,8991
PXD004720,bread wheat,root-tip,single,FragPipe_Duncan_PXD004720_root-tip_peptide_genome_projection.csv,191943,191943,0,100,38634,39774,,35031,21057
PXD004720,bread wheat,root-vasculature,single,FragPipe_Duncan_PXD004720_root-vasculature_peptide_genome_projection.csv,111831,111831,0,100,20815,30626,,14833,8183
PXD004720,bread wheat,spike-immature,single,FragPipe_Duncan_PXD004720_spike-immature_peptide_genome_projection.csv,188826,188826,0,100,36370,40207,,33193,19376
PXD004720,bread wheat,stem,single,FragPipe_Duncan_PXD004720_stem_peptide_genome_projection.csv,60734,60734,0,100,14338,29410,,6949,3980
