Source,Species,Tissue,Batch,Gene_mapping_file,Peptide_protein_pairs,Mapped_peptide_protein_pairs,Unmapped_peptide_protein_pairs,Mapping_rate_percent,Unique_peptides,Unique_proteins,Mapped_unique_proteins,Unmapped_unique_proteins,Unique_gene_models,Unique_transcripts
MSV000090572,bread wheat,stored_grain,single,FragPipe_Vincent_MSV000090572_stored-grain_peptide_protein_gene_mapping.csv,30317,30314,3,99.99,9329,17481,17478,3,,17478
PXD050500,bread wheat,coleoptile,single,FragPipe_Liu_PXD050500_coleoptile_peptide_protein_gene_mapping.csv,1850247,1850136,111,99.99,582775,239514,239461,53,,239461
PXD050500,bread wheat,node,single,FragPipe_Liu_PXD050500_node_peptide_protein_gene_mapping.csv,1887009,1886922,87,100.0,595954,242842,242813,29,,242813
PXD050500,bread wheat,radicle,single,FragPipe_Liu_PXD050500_radicle_peptide_protein_gene_mapping.csv,1062587,1062508,79,99.99,333058,206049,206016,33,,206016
PXD004720,bread wheat,anther,single,FragPipe_Duncan_PXD004720_anther_peptide_protein_gene_mapping.csv,164397,164365,32,99.98,34098,36839,36826,13,,36826
PXD004720,bread wheat,boot,single,FragPipe_Duncan_PXD004720_boot_peptide_protein_gene_mapping.csv,13230,13227,3,99.98,3643,9211,9208,3,,9208
PXD004720,bread wheat,coleoptile,single,FragPipe_Duncan_PXD004720_coleoptile_peptide_protein_gene_mapping.csv,204518,204476,42,99.98,41025,46513,46496,17,,46496
PXD004720,bread wheat,embryo,single,FragPipe_Duncan_PXD004720_embryo_peptide_protein_gene_mapping.csv,8852,8852,0,100.0,2867,7220,7220,0,,7220
PXD004720,bread wheat,endosperm,single,FragPipe_Duncan_PXD004720_endosperm_peptide_protein_gene_mapping.csv,102845,102830,15,99.99,20081,27461,27454,7,,27454
PXD004720,bread wheat,glume,single,FragPipe_Duncan_PXD004720_glume_peptide_protein_gene_mapping.csv,145154,145133,21,99.99,28648,35551,35540,11,,35540
PXD004720,bread wheat,grain-zadoks-70,single,FragPipe_Duncan_PXD004720_grain-zadoks-70_peptide_protein_gene_mapping.csv,126227,126195,32,99.97,26196,35549,35532,17,,35532
PXD004720,bread wheat,grain-zadoks-71,single,FragPipe_Duncan_PXD004720_grain-zadoks-71_peptide_protein_gene_mapping.csv,179751,179725,26,99.99,35960,47089,47076,13,,47076
PXD004720,bread wheat,grain-zadoks-75,single,FragPipe_Duncan_PXD004720_grain-zadoks-75_peptide_protein_gene_mapping.csv,132719,132701,18,99.99,27463,41042,41029,13,,41029
PXD004720,bread wheat,grain-zadoks-83,single,FragPipe_Duncan_PXD004720_grain-zadoks-83_peptide_protein_gene_mapping.csv,113236,113203,33,99.97,23990,36654,36635,19,,36635
PXD004720,bread wheat,grain-zadoks-87,single,FragPipe_Duncan_PXD004720_grain-zadoks-87_peptide_protein_gene_mapping.csv,111819,111792,27,99.98,24636,34889,34874,15,,34874
PXD004720,bread wheat,leaf-flag-mature,single,FragPipe_Duncan_PXD004720_leaf-flag-mature_peptide_protein_gene_mapping.csv,145650,145632,18,99.99,29840,37963,37954,9,,37954
PXD004720,bread wheat,leaf-flag-senescing,single,FragPipe_Duncan_PXD004720_leaf-flag-senescing_peptide_protein_gene_mapping.csv,46206,46200,6,99.99,11354,25701,25696,5,,25696
PXD004720,bread wheat,leaf-flag-young,single,FragPipe_Duncan_PXD004720_leaf-flag-young_peptide_protein_gene_mapping.csv,120833,120821,12,99.99,23373,32629,32620,9,,32620
PXD004720,bread wheat,lemma,single,FragPipe_Duncan_PXD004720_lemma_peptide_protein_gene_mapping.csv,147650,147618,32,99.98,29788,37946,37927,19,,37927
PXD004720,bread wheat,node,single,FragPipe_Duncan_PXD004720_node_peptide_protein_gene_mapping.csv,99844,99823,21,99.98,21457,36555,36542,13,,36542
PXD004720,bread wheat,node_secretion,single,FragPipe_Duncan_PXD004720_node-secretion_peptide_protein_gene_mapping.csv,169705,169675,30,99.98,34124,42371,42356,15,,42356
PXD004720,bread wheat,palea,single,FragPipe_Duncan_PXD004720_palea_peptide_protein_gene_mapping.csv,116960,116936,24,99.98,21707,27591,27580,11,,27580
PXD004720,bread wheat,pericarp,single,FragPipe_Duncan_PXD004720_pericarp_peptide_protein_gene_mapping.csv,131245,131215,30,99.98,28332,32676,32667,9,,32667
PXD004720,bread wheat,pollen,single,FragPipe_Duncan_PXD004720_pollen_peptide_protein_gene_mapping.csv,74722,74698,24,99.97,13502,19942,19931,11,,19931
