Source,Species,Tissue,Batch,Projection_file,Projected_rows_checked,Rows_passing_all_sanity_checks,Rows_failing_any_sanity_check,Percent_passing_all_sanity_checks,BED_geometry_failures,Block_nt_length_failures,Chromosome_strand_failures,Protein_coordinate_failures
MSV000090572,bread wheat,stored_grain,single,FragPipe_Vincent_MSV000090572_stored-grain_peptide_genome_projection.csv,30314,29836,478,98.4232,0,0,478,0
PXD050500,bread wheat,coleoptile,single,FragPipe_Liu_PXD050500_coleoptile_peptide_genome_projection.csv,1850136,1832405,17731,99.0416,0,0,17731,0
PXD050500,bread wheat,node,single,FragPipe_Liu_PXD050500_node_peptide_genome_projection.csv,1886922,1868501,18421,99.0238,0,0,18421,0
PXD050500,bread wheat,radicle,single,FragPipe_Liu_PXD050500_radicle_peptide_genome_projection.csv,1062508,1052392,10116,99.0479,0,0,10116,0
PXD004720,bread wheat,anther,single,FragPipe_Duncan_PXD004720_anther_peptide_genome_projection.csv,164365,162834,1531,99.0685,0,0,1531,0
PXD004720,bread wheat,boot,single,FragPipe_Duncan_PXD004720_boot_peptide_genome_projection.csv,13227,13114,113,99.1457,0,0,113,0
PXD004720,bread wheat,coleoptile,single,FragPipe_Duncan_PXD004720_coleoptile_peptide_genome_projection.csv,204476,202433,2043,99.0009,0,0,2043,0
PXD004720,bread wheat,embryo,single,FragPipe_Duncan_PXD004720_embryo_peptide_genome_projection.csv,8852,8769,83,99.0624,0,0,83,0
PXD004720,bread wheat,endosperm,single,FragPipe_Duncan_PXD004720_endosperm_peptide_genome_projection.csv,102830,101946,884,99.1403,0,0,884,0
PXD004720,bread wheat,glume,single,FragPipe_Duncan_PXD004720_glume_peptide_genome_projection.csv,145133,143464,1669,98.85,0,0,1669,0
PXD004720,bread wheat,grain-zadoks-70,single,FragPipe_Duncan_PXD004720_grain-zadoks-70_peptide_genome_projection.csv,126195,125070,1125,99.1085,0,0,1125,0
PXD004720,bread wheat,grain-zadoks-71,single,FragPipe_Duncan_PXD004720_grain-zadoks-71_peptide_genome_projection.csv,179725,178286,1439,99.1993,0,0,1439,0
PXD004720,bread wheat,grain-zadoks-75,single,FragPipe_Duncan_PXD004720_grain-zadoks-75_peptide_genome_projection.csv,132701,131666,1035,99.2201,0,0,1035,0
PXD004720,bread wheat,grain-zadoks-83,single,FragPipe_Duncan_PXD004720_grain-zadoks-83_peptide_genome_projection.csv,113203,112128,1075,99.0504,0,0,1075,0
PXD004720,bread wheat,grain-zadoks-87,single,FragPipe_Duncan_PXD004720_grain-zadoks-87_peptide_genome_projection.csv,111792,110874,918,99.1788,0,0,918,0
PXD004720,bread wheat,leaf-flag-mature,single,FragPipe_Duncan_PXD004720_leaf-flag-mature_peptide_genome_projection.csv,145632,144063,1569,98.9226,0,0,1569,0
PXD004720,bread wheat,leaf-flag-senescing,single,FragPipe_Duncan_PXD004720_leaf-flag-senescing_peptide_genome_projection.csv,46200,45551,649,98.5952,0,0,649,0
PXD004720,bread wheat,leaf-flag-young,single,FragPipe_Duncan_PXD004720_leaf-flag-young_peptide_genome_projection.csv,120821,119463,1358,98.876,0,0,1358,0
PXD004720,bread wheat,lemma,single,FragPipe_Duncan_PXD004720_lemma_peptide_genome_projection.csv,147618,146124,1494,98.9879,0,0,1494,0
PXD004720,bread wheat,node,single,FragPipe_Duncan_PXD004720_node_peptide_genome_projection.csv,99823,98604,1219,98.7788,0,0,1219,0
PXD004720,bread wheat,node_secretion,single,FragPipe_Duncan_PXD004720_node-secretion_peptide_genome_projection.csv,169675,167975,1700,98.9981,0,0,1700,0
PXD004720,bread wheat,palea,single,FragPipe_Duncan_PXD004720_palea_peptide_genome_projection.csv,116936,115679,1257,98.9251,0,0,1257,0
PXD004720,bread wheat,pericarp,single,FragPipe_Duncan_PXD004720_pericarp_peptide_genome_projection.csv,131215,129960,1255,99.0436,0,0,1255,0
PXD004720,bread wheat,pollen,single,FragPipe_Duncan_PXD004720_pollen_peptide_genome_projection.csv,74698,73946,752,98.9933,0,0,752,0
PXD004720,bread wheat,rachilla,single,FragPipe_Duncan_PXD004720_rachilla_peptide_genome_projection.csv,160204,158608,1596,99.0038,0,0,1596,0
PXD004720,bread wheat,radicle,single,FragPipe_Duncan_PXD004720_radicle_peptide_genome_projection.csv,194694,193172,1522,99.2183,0,0,1522,0
PXD004720,bread wheat,root-mature,single,FragPipe_Duncan_PXD004720_root-mature_peptide_genome_projection.csv,97188,96110,1078,98.8908,0,0,1078,0
PXD004720,bread wheat,root-secretion,single,FragPipe_Duncan_PXD004720_root-secretion_peptide_genome_projection.csv,100639,99670,969,99.0372,0,0,969,0
PXD004720,bread wheat,root-tip,single,FragPipe_Duncan_PXD004720_root-tip_peptide_genome_projection.csv,191943,190638,1305,99.3201,0,0,1305,0
PXD004720,bread wheat,root-vasculature,single,FragPipe_Duncan_PXD004720_root-vasculature_peptide_genome_projection.csv,111831,110808,1023,99.0852,0,0,1023,0
PXD004720,bread wheat,spike-immature,single,FragPipe_Duncan_PXD004720_spike-immature_peptide_genome_projection.csv,188826,187160,1666,99.1177,0,0,1666,0
PXD004720,bread wheat,stem,single,FragPipe_Duncan_PXD004720_stem_peptide_genome_projection.csv,60734,60162,572,99.0582,0,0,572,0
