Source,Species,Tissue,Batch,Projection_file,Rows_from_step10_validation_table,Rows_translation_validated,Rows_excluded_by_translation_validation,Translation_validated_rows_checked,Rows_passing_all_sanity_checks,Rows_failing_any_sanity_check,BED_geometry_failures,Block_nt_length_failures,Chromosome_strand_failures,Protein_coordinate_failures,Percent_translation_validated,Percent_passing_all_sanity_checks
PXD004720,bread wheat,anther,single,FragPipe_Duncan_PXD004720_anther_peptide_genome_projection.csv,164365,163467,898,163467,161955,1512,0,0,1512,0,99.4537,99.075
PXD004720,bread wheat,boot,single,FragPipe_Duncan_PXD004720_boot_peptide_genome_projection.csv,13227,13137,90,13137,13024,113,0,0,113,0,99.3196,99.1398
PXD004720,bread wheat,coleoptile,single,FragPipe_Duncan_PXD004720_coleoptile_peptide_genome_projection.csv,204476,203264,1212,203264,201259,2005,0,0,2005,0,99.4073,99.0136
PXD004720,bread wheat,embryo,single,FragPipe_Duncan_PXD004720_embryo_peptide_genome_projection.csv,8852,8742,110,8742,8662,80,0,0,80,0,98.7573,99.0849
PXD004720,bread wheat,endosperm,single,FragPipe_Duncan_PXD004720_endosperm_peptide_genome_projection.csv,102830,102289,541,102289,101413,876,0,0,876,0,99.4739,99.1436
PXD004720,bread wheat,glume,single,FragPipe_Duncan_PXD004720_glume_peptide_genome_projection.csv,145133,144079,1054,144079,142449,1630,0,0,1630,0,99.2738,98.8687
PXD004720,bread wheat,grain-zadoks-70,single,FragPipe_Duncan_PXD004720_grain-zadoks-70_peptide_genome_projection.csv,126195,125355,840,125355,124251,1104,0,0,1104,0,99.3344,99.1193
PXD004720,bread wheat,grain-zadoks-71,single,FragPipe_Duncan_PXD004720_grain-zadoks-71_peptide_genome_projection.csv,179725,178814,911,178814,177392,1422,0,0,1422,0,99.4931,99.2048
PXD004720,bread wheat,grain-zadoks-75,single,FragPipe_Duncan_PXD004720_grain-zadoks-75_peptide_genome_projection.csv,132701,132081,620,132081,131066,1015,0,0,1015,0,99.5328,99.2315
PXD004720,bread wheat,grain-zadoks-83,single,FragPipe_Duncan_PXD004720_grain-zadoks-83_peptide_genome_projection.csv,113203,112389,814,112389,111335,1054,0,0,1054,0,99.2809,99.0622
PXD004720,bread wheat,grain-zadoks-87,single,FragPipe_Duncan_PXD004720_grain-zadoks-87_peptide_genome_projection.csv,111792,111156,636,111156,110256,900,0,0,900,0,99.4311,99.1903
PXD004720,bread wheat,leaf-flag-mature,single,FragPipe_Duncan_PXD004720_leaf-flag-mature_peptide_genome_projection.csv,145632,144641,991,144641,143118,1523,0,0,1523,0,99.3195,98.947
