Source,Species,Tissue,Batch,Projected_peptide_rows,Unique_peptides,Unique_proteins_isoforms,Unique_gene_models,Unique_HC_gene_models,Unique_LC_gene_models,Percent_total_gene_models_detected,Percent_HC_gene_models_detected,Percent_LC_gene_models_detected,Unique_chromosomes,Multi_block_peptide_rows,Proteins_supported_by_one_peptide,Proteins_supported_by_two_or_more_peptides,Genes_supported_by_one_peptide,Genes_supported_by_two_or_more_peptides
MSV000090572,bread wheat,stored_grain,single,30314,9329,17478,14903,9169,5734,5.5868,8.5761,3.5874,22,3291,14132,3346,12085,2818
PXD004720,bread wheat,anther,single,164365,34098,36826,29384,21425,7959,11.0155,20.0395,4.9794,22,27776,19936,16890,16541,12843
PXD004720,bread wheat,boot,single,13227,3643,9208,7361,5420,1941,2.7595,5.0695,1.2144,22,2728,7285,1923,5897,1464
PXD004720,bread wheat,coleoptile,single,204476,41025,46496,36872,26825,10047,13.8226,25.0903,6.2857,22,31344,23572,22924,19818,17054
PXD004720,bread wheat,embryo,single,8852,2867,7220,5858,4214,1644,2.196,3.9415,1.0285,22,1411,6285,935,5152,706
PXD004720,bread wheat,endosperm,single,102830,20081,27454,21878,16070,5808,8.2016,15.0308,3.6337,22,14269,15841,11613,13128,8750
PXD004720,bread wheat,glume,single,145133,28648,35540,28724,20555,8169,10.7681,19.2257,5.1108,22,22131,19968,15572,16662,12062
PXD004720,bread wheat,grain-zadoks-70,single,126195,26196,35532,28677,20658,8019,10.7504,19.3221,5.017,22,17478,20510,15022,17259,11418
PXD004720,bread wheat,grain-zadoks-71,single,179725,35960,47076,36918,26989,9929,13.8398,25.2437,6.2119,22,27658,24690,22386,20769,16149
PXD004720,bread wheat,grain-zadoks-75,single,132701,27463,41029,32610,24271,8339,12.2248,22.7014,5.2172,22,18650,23251,17778,19474,13136
PXD004720,bread wheat,grain-zadoks-83,single,113203,23990,36635,29435,21216,8219,11.0346,19.844,5.1421,22,14734,21674,14961,18228,11207
PXD004720,bread wheat,grain-zadoks-87,single,111792,24636,34874,28087,20047,8040,10.5293,18.7506,5.0301,22,14886,21235,13639,17740,10347
PXD004720,bread wheat,leaf-flag-mature,single,145632,29840,37954,30373,22463,7910,11.3862,21.0103,4.9488,22,19448,19758,18196,16433,13940
PXD004720,bread wheat,leaf-flag-senescing,single,46200,11354,25696,21261,14354,6907,7.9703,13.4257,4.3213,22,4572,18836,6860,15872,5389
PXD004720,bread wheat,leaf-flag-young,single,120821,23373,32620,26238,18878,7360,9.8361,17.6572,4.6047,22,15227,17531,15089,14534,11704
PXD004720,bread wheat,lemma,single,147618,29788,37927,30445,21851,8594,11.4132,20.4379,5.3767,22,21753,20855,17072,17320,13125
PXD004720,bread wheat,node,single,99823,21457,36542,29969,19881,10088,11.2348,18.5953,6.3114,22,12765,23369,13173,19696,10273
PXD004720,bread wheat,node_secretion,single,169675,34124,42356,33736,24960,8776,12.647,23.3459,5.4906,22,22888,21374,20982,17945,15791
PXD004720,bread wheat,palea,single,116936,21707,27580,21779,16403,5376,8.1645,15.3422,3.3634,22,20681,14019,13561,11405,10374
PXD004720,bread wheat,pericarp,single,131215,28332,32667,25960,18944,7016,9.7319,17.7189,4.3894,22,20964,18598,14069,15393,10567
PXD004720,bread wheat,pollen,single,74698,13502,19931,16058,12178,3880,6.0198,11.3905,2.4275,22,9490,10805,9126,8883,7175
PXD004720,bread wheat,rachilla,single,160204,31145,37204,29549,21454,8095,11.0773,20.0666,5.0645,22,24784,19588,17616,16297,13252
PXD004720,bread wheat,radicle,single,194694,39643,42965,33865,25722,8143,12.6953,24.0586,5.0945,22,32499,22390,20575,18724,15141
PXD004720,bread wheat,root-mature,single,97188,21350,39156,31553,22163,9390,11.8286,20.7297,5.8747,22,10898,26297,12859,21852,9701
PXD004720,bread wheat,root-secretion,single,100639,21284,32046,25509,18705,6804,9.5628,17.4954,4.2568,22,15547,20041,12005,16472,9037
PXD004720,bread wheat,root-tip,single,191943,38634,39774,30937,23718,7219,11.5977,22.1842,4.5164,22,35031,18861,20913,15675,15262
PXD004720,bread wheat,root-vasculature,single,111831,20815,30626,23808,18214,5594,8.9251,17.0361,3.4998,22,14833,16692,13934,13630,10178
PXD004720,bread wheat,spike-immature,single,188826,36370,40207,31027,23528,7499,11.6314,22.0065,4.6916,22,33193,19851,20356,16433,14594
PXD004720,bread wheat,stem,single,60734,14338,29410,23675,16641,7034,8.8753,15.5648,4.4007,22,6949,20194,9216,16775,6900
PXD050500,bread wheat,coleoptile,single,1850136,582775,239461,211806,97522,114284,79.4018,91.2154,71.4999,22,228372,59391,180070,57302,154504
PXD050500,bread wheat,node,single,1886922,595954,242813,215038,98279,116759,80.6135,91.9234,73.0483,22,235642,57470,185343,55363,159675
PXD050500,bread wheat,radicle,single,1062508,333058,206016,179884,89997,89887,67.4349,84.177,56.2363,22,118195,68189,137827,64784,115100
