Source,Species,Tissue,Batch,Validated_peptide_rows,Unique_peptides,Unique_proteins_isoforms,Unique_gene_models,Unique_HC_gene_models,Unique_LC_gene_models,Percent_total_gene_models_detected,Percent_HC_gene_models_detected,Percent_LC_gene_models_detected,Unique_chromosomes,Multi_exon_peptide_rows,Within_exon_peptide_rows,Proteins_supported_by_one_peptide,Proteins_supported_by_two_or_more_peptides,Genes_supported_by_one_peptide,Genes_supported_by_two_or_more_peptides
MSV000090572,bread wheat,stored_grain,single,29430,9070,16819,14263,9017,5246,5.3469,8.4339,3.2821,21,3248,26182,13553,3266,11525,2738
PXD004720,bread wheat,anther,single,161955,33926,35808,28408,21220,7188,10.6496,19.8477,4.4971,21,27584,134371,19159,16649,15795,12613
PXD004720,bread wheat,boot,single,13024,3585,9028,7191,5377,1814,2.6958,5.0293,1.1349,21,2718,10306,7123,1905,5744,1447
PXD004720,bread wheat,coleoptile,single,201259,40804,45180,35610,26512,9098,13.3495,24.7975,5.692,21,31158,170101,22671,22509,18942,16668
PXD004720,bread wheat,embryo,single,8662,2807,7035,5683,4176,1507,2.1304,3.9059,0.9428,21,1394,7268,6105,930,4981,702
PXD004720,bread wheat,endosperm,single,101413,19923,26770,21225,15901,5324,7.9568,14.8727,3.3309,21,14186,87227,15341,11429,12649,8576
PXD004720,bread wheat,glume,single,142449,28467,34516,27731,20326,7405,10.3958,19.0115,4.6328,21,22004,120445,19283,15233,15992,11739
PXD004720,bread wheat,grain-zadoks-70,single,124251,25979,34464,27641,20426,7215,10.3621,19.1051,4.5139,21,17383,106868,19676,14788,16440,11201
PXD004720,bread wheat,grain-zadoks-71,single,177392,35753,45872,35760,26757,9003,13.4057,25.0267,5.6326,21,27486,149906,23771,22101,19871,15889
PXD004720,bread wheat,grain-zadoks-75,single,131066,27248,40142,31760,24064,7696,11.9062,22.5078,4.8149,21,18519,112547,22566,17576,18805,12955
PXD004720,bread wheat,grain-zadoks-83,single,111335,23796,35595,28429,20984,7445,10.6575,19.627,4.6578,21,14632,96703,20876,14719,17448,10981
PXD004720,bread wheat,grain-zadoks-87,single,110256,24426,34014,27255,19859,7396,10.2174,18.5747,4.6272,21,14790,95466,20572,13442,17094,10161
PXD004720,bread wheat,leaf-flag-mature,single,143118,29691,36920,29375,22215,7160,11.0121,20.7784,4.4795,21,19328,123790,19082,17838,15776,13599
PXD004720,bread wheat,leaf-flag-senescing,single,45054,11158,24893,20480,14169,6311,7.6775,13.2527,3.9484,21,4522,40532,18180,6713,15232,5248
PXD004720,bread wheat,leaf-flag-young,single,118601,23264,31709,25363,18662,6701,9.5081,17.4552,4.1924,21,15118,103483,16944,14765,13967,11396
PXD004720,bread wheat,lemma,single,145101,29611,36901,29460,21621,7839,11.044,20.2228,4.9043,21,21630,123471,20192,16709,16683,12777
PXD004720,bread wheat,node,single,97553,21227,35299,28755,19676,9079,10.7797,18.4036,5.6801,21,12673,84880,22424,12875,18768,9987
PXD004720,bread wheat,node_secretion,single,166896,33982,41183,32619,24691,7928,12.2282,23.0943,4.96,21,22746,144150,20604,20579,17206,15413
PXD004720,bread wheat,palea,single,115047,21587,26907,21138,16236,4902,7.9242,15.186,3.0669,21,20580,94467,13610,13297,11016,10122
PXD004720,bread wheat,pericarp,single,129415,28122,31869,25198,18752,6446,9.4462,17.5393,4.0328,21,20838,108577,17998,13871,14815,10383
PXD004720,bread wheat,pollen,single,73586,13425,19464,15612,12071,3541,5.8526,11.2904,2.2154,21,9418,64168,10483,8981,8572,7040
PXD004720,bread wheat,rachilla,single,157648,30965,36157,28554,21237,7317,10.7043,19.8636,4.5778,21,24647,133001,18868,17289,15607,12947
PXD004720,bread wheat,radicle,single,192432,39419,41972,32926,25482,7444,12.3433,23.8341,4.6572,21,32321,160111,21659,20313,18016,14910
PXD004720,bread wheat,root-mature,single,95329,21058,38007,30454,21919,8535,11.4166,20.5015,5.3398,21,10790,84539,25332,12675,20918,9536
PXD004720,bread wheat,root-secretion,single,99127,21057,31289,24785,18527,6258,9.2914,17.3289,3.9152,21,15421,83706,19452,11837,15902,8883
PXD004720,bread wheat,root-tip,single,189975,38455,38884,30097,23518,6579,11.2828,21.9971,4.116,21,34893,155082,18203,20681,15042,15055
PXD004720,bread wheat,root-vasculature,single,110307,20703,29966,23188,18035,5153,8.6927,16.8687,3.2239,21,14735,95572,16197,13769,13155,10033
PXD004720,bread wheat,spike-immature,single,186379,36176,39281,30155,23319,6836,11.3045,21.811,4.2768,21,33010,153369,19203,20078,15820,14335
PXD004720,bread wheat,stem,single,59623,14136,28609,22899,16485,6414,8.5844,15.4189,4.0128,21,6875,52748,19501,9108,16101,6798
PXD050500,bread wheat,coleoptile,single,1812027,572135,229576,202118,96200,105918,75.77,89.9789,66.2658,21,226291,1585736,56878,172698,54812,147306
PXD050500,bread wheat,node,single,1846620,584736,232885,205305,96914,108391,76.9647,90.6467,67.813,21,233388,1613232,55153,177732,53071,152234
PXD050500,bread wheat,radicle,single,1040357,327065,197866,171912,88814,83098,64.4464,83.0705,51.9889,21,117056,923301,64917,132949,61552,110360
