Source_Tissue,Validated_BED_rows,Unique_validated_proteins,Unique_validated_peptides,Unique_validated_gene_models
PXD050500_node,1864415,237191,587392,209468
PXD050500_coleoptile,1829196,233744,574831,206142
PXD050500_radicle,1050178,201263,328566,175179
PXD004720_grain-zadoks-71,178814,46422,35806,36269
PXD004720_coleoptile,203264,45819,40861,36208
PXD004720_radicle,193938,42476,39487,33385
PXD004720_node_secretion,168564,41769,34026,33166
PXD004720_grain-zadoks-75,132081,40582,27293,32167
PXD004720_root-mature,96387,38544,21125,30952
PXD004720_spike-immature,188025,39779,36236,30611
PXD004720_root-tip,191262,39337,38496,30508
PXD004720_lemma,146562,37386,29653,29915
PXD004720_leaf-flag-mature,144641,37453,29731,29882
PXD004720_node,98731,35794,21280,29228
PXD004720_rachilla,159219,36663,31008,29020
PXD004720_grain-zadoks-83,112389,36046,23840,28854
PXD004720_anther,163467,36275,33982,28845
PXD004720_glume,144079,35014,28512,28205
PXD004720_grain-zadoks-70,125355,34929,26037,28080
PXD004720_grain-zadoks-87,111156,34405,24482,27624
PXD004720_leaf-flag-young,119922,32180,23296,25809
PXD004720_pericarp,130645,32281,28184,25580
PXD004720_root-secretion,100085,31657,21111,25126
PXD004720_root-vasculature,111315,30323,20728,23512
PXD004720_stem,60181,28948,14177,23218
PXD004720_endosperm,102289,27099,19953,21529
PXD004720_palea,116285,27295,21623,21503
PXD004720_leaf-flag-senescing,45680,25275,11204,20842
PXD004720_pollen,74334,19731,13446,15866
MSV000090572_stored_grain,29892,17110,9126,14536
PXD004720_boot,13137,9126,3599,7279
PXD004720_embryo,8742,7110,2815,5749
