Input_BED_file,Original_rows,Retained_validated_rows,Removed_failed_rows,Percent_retained,Output_BED_file
Vincent_MSV000090572_stored_grain_projected-peptides_annotation-proteogenomics_20260518.bed12,30314,29836,478,98.4232,Vincent_MSV000090572_stored_grain_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_MSV000090572_stored_grain_projected-peptides_annotation-proteogenomics_20260518.bed6,30314,29836,478,98.4232,Vincent_MSV000090572_stored_grain_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_anther_projected-peptides_annotation-proteogenomics_20260518.bed12,164365,162834,1531,99.0685,Vincent_PXD004720_anther_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_anther_projected-peptides_annotation-proteogenomics_20260518.bed6,164365,162834,1531,99.0685,Vincent_PXD004720_anther_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_boot_projected-peptides_annotation-proteogenomics_20260518.bed12,13227,13114,113,99.1457,Vincent_PXD004720_boot_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_boot_projected-peptides_annotation-proteogenomics_20260518.bed6,13227,13114,113,99.1457,Vincent_PXD004720_boot_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed12,204476,202433,2043,99.0009,Vincent_PXD004720_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed6,204476,202433,2043,99.0009,Vincent_PXD004720_coleoptile_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_embryo_projected-peptides_annotation-proteogenomics_20260518.bed12,8852,8769,83,99.0624,Vincent_PXD004720_embryo_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_embryo_projected-peptides_annotation-proteogenomics_20260518.bed6,8852,8769,83,99.0624,Vincent_PXD004720_embryo_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_endosperm_projected-peptides_annotation-proteogenomics_20260518.bed12,102830,101946,884,99.1403,Vincent_PXD004720_endosperm_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_endosperm_projected-peptides_annotation-proteogenomics_20260518.bed6,102830,101946,884,99.1403,Vincent_PXD004720_endosperm_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_glume_projected-peptides_annotation-proteogenomics_20260518.bed12,145133,143464,1669,98.85,Vincent_PXD004720_glume_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_glume_projected-peptides_annotation-proteogenomics_20260518.bed6,145133,143464,1669,98.85,Vincent_PXD004720_glume_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_grain_zadoks_70_projected-peptides_annotation-proteogenomics_20260518.bed12,126195,125070,1125,99.1085,Vincent_PXD004720_grain_zadoks_70_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_grain_zadoks_70_projected-peptides_annotation-proteogenomics_20260518.bed6,126195,125070,1125,99.1085,Vincent_PXD004720_grain_zadoks_70_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_grain_zadoks_71_projected-peptides_annotation-proteogenomics_20260518.bed12,179725,178286,1439,99.1993,Vincent_PXD004720_grain_zadoks_71_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_grain_zadoks_71_projected-peptides_annotation-proteogenomics_20260518.bed6,179725,178286,1439,99.1993,Vincent_PXD004720_grain_zadoks_71_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_grain_zadoks_75_projected-peptides_annotation-proteogenomics_20260518.bed12,132701,131666,1035,99.2201,Vincent_PXD004720_grain_zadoks_75_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_grain_zadoks_75_projected-peptides_annotation-proteogenomics_20260518.bed6,132701,131666,1035,99.2201,Vincent_PXD004720_grain_zadoks_75_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_grain_zadoks_83_projected-peptides_annotation-proteogenomics_20260518.bed12,113203,112128,1075,99.0504,Vincent_PXD004720_grain_zadoks_83_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_grain_zadoks_83_projected-peptides_annotation-proteogenomics_20260518.bed6,113203,112128,1075,99.0504,Vincent_PXD004720_grain_zadoks_83_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_grain_zadoks_87_projected-peptides_annotation-proteogenomics_20260518.bed12,111792,110874,918,99.1788,Vincent_PXD004720_grain_zadoks_87_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_grain_zadoks_87_projected-peptides_annotation-proteogenomics_20260518.bed6,111792,110874,918,99.1788,Vincent_PXD004720_grain_zadoks_87_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_leaf_flag_mature_projected-peptides_annotation-proteogenomics_20260518.bed12,145632,144063,1569,98.9226,Vincent_PXD004720_leaf_flag_mature_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_leaf_flag_mature_projected-peptides_annotation-proteogenomics_20260518.bed6,145632,144063,1569,98.9226,Vincent_PXD004720_leaf_flag_mature_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_leaf_flag_senescing_projected-peptides_annotation-proteogenomics_20260518.bed12,46200,45551,649,98.5952,Vincent_PXD004720_leaf_flag_senescing_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_leaf_flag_senescing_projected-peptides_annotation-proteogenomics_20260518.bed6,46200,45551,649,98.5952,Vincent_PXD004720_leaf_flag_senescing_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_leaf_flag_young_projected-peptides_annotation-proteogenomics_20260518.bed12,120821,119463,1358,98.876,Vincent_PXD004720_leaf_flag_young_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_leaf_flag_young_projected-peptides_annotation-proteogenomics_20260518.bed6,120821,119463,1358,98.876,Vincent_PXD004720_leaf_flag_young_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed12,147618,146124,1494,98.9879,Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed6,147618,146124,1494,98.9879,Vincent_PXD004720_lemma_projected-peptides_annotation-proteogenomics_20260518.bed6
Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed12,99823,98604,1219,98.7788,Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed12
Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed6,99823,98604,1219,98.7788,Vincent_PXD004720_node_projected-peptides_annotation-proteogenomics_20260518.bed6
