Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
TraesCS1A03G0046300.1	TraesCS1A03G0046300.1	TraesCS1A03G0046300.1		407	false	false		TraesCS1A03G0046300.1		17.20	1.0000	0.9990	0.00000000000000	4	0	2	6	0	2	     0	     0	     0			TraesCS1A03G0046300.2, TraesCS1B03G0048800.1, TraesCS1D03G0038800.1, TraesCS4A03G0879700.1, TraesCS5B03G1253800.1, TraesCS5D03G1126300.1
TraesCS1A03G0163300.1	TraesCS1A03G0163300.1	TraesCS1A03G0163300.1		503	false	false		TraesCS1A03G0163300.1		8.75	1.0000	0.9990	0.00000000000000	2	0	2	6	0	6	     0	     0	     0			TraesCS1B03G0216400.1, TraesCS1D03G0151500.1
TraesCS1A03G0193000.1	TraesCS1A03G0193000.1	TraesCS1A03G0193000.1		219	false	false		TraesCS1A03G0193000.1		9.13	1.0000	0.9990	0.00000000000000	1	0	1	10	0	10	     0	     0	     0			TraesCS1A03G0193100.1, TraesCS1B03G0260500.1, TraesCS1B03G0260800.1, TraesCS1D03G0185900.1, TraesCS2A03G0085500.1, TraesCS2D03G1120900.1, TraesCS2D03G1120900.2, TraesCS2D03G1314000.1
TraesCS1A03G0194200.1	TraesCS1A03G0194200.1	TraesCS1A03G0194200.1		103	false	false		TraesCS1A03G0194200.1		31.07	1.0000	0.9990	0.00000000000000	1	0	1	3	0	3	     0	     0	     0			TraesCS1A03G0538100.1, TraesCS1A03G0669100.1, TraesCS1A03G0723200.1, TraesCS1A03G0723300.1, TraesCS1A03G0730200.1, TraesCS1A03G0730300.1, TraesCS1A03G0730400.1, TraesCS1A03G0737200.1, TraesCS1A03G0737600.1, TraesCS1A03G0878900.1, TraesCS1A03G0879500.1, TraesCS1A03G0885400.1, TraesCS1B03G0263000.1, TraesCS1B03G0640500.1, TraesCS1B03G0825700.1, TraesCS1B03G0825800.1, TraesCS1B03G0833500.1, TraesCS1B03G0833700.1, TraesCS1B03G0834000.1, TraesCS1B03G0834200.1, TraesCS1B03G0841400.1, TraesCS1B03G1024700.1, TraesCS1B03G1025200.1, TraesCS1B03G1025700.1, TraesCS1B03G1030600.1, TraesCS1B03G1035400.1, TraesCS1D03G0186700.1, TraesCS1D03G0517900.1, TraesCS1D03G0632200.1, TraesCS1D03G0686900.1, TraesCS1D03G0687000.1, TraesCS1D03G0694100.1, TraesCS1D03G0694200.1, TraesCS1D03G0694700.1, TraesCS1D03G0852900.1, TraesCS1D03G0856100.1, TraesCS1D03G0860700.1, TraesCS2A03G0948500.1, TraesCS2A03G0996900.1, TraesCS2A03G0999600.1, TraesCS2A03G0999700.1, TraesCS2A03G1000000.1, TraesCS2A03G1103000.1, TraesCS2B03G1047100.1, TraesCS2B03G1107000.1, TraesCS2B03G1107200.1, TraesCS2B03G1110300.1, TraesCS2B03G1110400.1, TraesCS2B03G1111300.1, TraesCS2B03G1239700.1, TraesCS2B03G1239900.1, TraesCS2D03G0889700.1, TraesCS2D03G0932500.1, TraesCS2D03G0932700.1, TraesCS2D03G0935800.1, TraesCS2D03G0935900.1, TraesCS3A03G0317000.1, TraesCS3A03G0830200.1, TraesCS3A03G0843400.1, TraesCS3B03G0400200.1, TraesCS3B03G0950800.1, TraesCS3D03G0317600.1, TraesCS3D03G0761600.1, TraesCS3D03G0773600.1, TraesCS4A03G0134300.1, TraesCS4B03G0617600.1, TraesCS4B03G0911400.1, TraesCS4D03G0545600.1, TraesCS4D03G0801800.1, TraesCS5A03G0559600.1, TraesCS5A03G0728100.1, TraesCS5A03G0835700.1, TraesCS5A03G0835900.1, TraesCS5A03G0837900.1, TraesCS5A03G0850500.1, TraesCS5B03G0570000.1, TraesCS5B03G0772400.1, TraesCS5B03G0873500.1, TraesCS5B03G0873600.1, TraesCS5B03G0873700.1, TraesCS5B03G0875800.1, TraesCS5B03G0893500.1, TraesCS5D03G0523600.1, TraesCS5D03G0525200.1, TraesCS5D03G0699000.1, TraesCS5D03G0798600.1, TraesCS5D03G0798700.1, TraesCS5D03G0800200.1, TraesCS5D03G0812600.1, TraesCS6A03G0122000.1, TraesCS6A03G0122300.1, TraesCS6A03G0123400LC.1, TraesCS6A03G0124300.1, TraesCS6A03G0132700.1, TraesCS6A03G0137900.1, TraesCS6A03G0138400.1, TraesCS6A03G0140800.1, TraesCS6A03G0141200.1, TraesCS6A03G0170500.1, TraesCS6A03G0175500.1, TraesCS6A03G0700000.1, TraesCS6B03G0173000.1, TraesCS6B03G0184300.1, TraesCS6B03G0184700.1, TraesCS6B03G0185000.1, TraesCS6B03G0185400.1, TraesCS6B03G0186000.1, TraesCS6B03G0186600.1, TraesCS6B03G0193700.1, TraesCS6B03G0194200.1, TraesCS6B03G0196400.1, TraesCS6B03G0199400.1, TraesCS6B03G0199900.1, TraesCS6B03G0237000.1, TraesCS6B03G0832000.1, TraesCS6B03G1142800.1, TraesCS6D03G0130300.1, TraesCS6D03G0131000.1, TraesCS6D03G0132400.1, TraesCS6D03G0133500.1, TraesCS6D03G0588900.1, TraesCS7A03G0418000.1, TraesCS7A03G1052900.1, TraesCS7A03G1053000.1, TraesCS7A03G1053300.1, TraesCS7B03G0898700.1, TraesCS7D03G0407000.1, TraesCSU03G0110400.1, TraesCSU03G0110600.1, TraesCSU03G0237200.1
TraesCS1A03G0233900.1	TraesCS1A03G0233900.1	TraesCS1A03G0233900.1		534	false	false		TraesCS1A03G0233900.1		14.23	1.0000	0.9990	0.00000000000000	2	0	2	4	0	4	     0	     0	     0			TraesCS1B03G0344200.1, TraesCS1D03G0251200.1
TraesCS1A03G0235000.1	TraesCS1A03G0235000.1	TraesCS1A03G0235000.1		367	false	false		TraesCS1A03G0235000.1		17.98	1.0000	0.9990	0.00000000000000	2	0	2	5	0	5	     0	     0	     0			TraesCS1B03G0343800.1, TraesCS1D03G0251500.1
TraesCS1A03G0255900.1	TraesCS1A03G0255900.1	TraesCS1A03G0255900.1		502	false	false		TraesCS1A03G0255900.1		6.97	1.0000	0.9990	0.00000000000000	2	0	2	6	0	6	     0	     0	     0	11M(15.9949), 12M(15.9949)		TraesCS1B03G0356800.1, TraesCS1D03G0258100.1
TraesCS1A03G0302700.1	TraesCS1A03G0302700.1	TraesCS1A03G0302700.1		570	false	false		TraesCS1A03G0302700.1		7.54	1.0000	0.9990	0.00000000000000	2	0	2	6	0	6	     0	     0	     0	5M(15.9949)		TraesCS1B03G0387000.1, TraesCS1B03G0387000.2, TraesCS1D03G0293000.1, TraesCS1D03G0293000.2
TraesCS1A03G0339400.1	TraesCS1A03G0339400.1	TraesCS1A03G0339400.1		673	false	false		TraesCS1A03G0339400.1		6.39	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	     0	     0	     0	7M(15.9949)		TraesCS1A03G0339400.2
TraesCS1A03G0370700.1	TraesCS1A03G0370700.1	TraesCS1A03G0370700.1		326	false	false		TraesCS1A03G0370700.1		11.96	1.0000	0.9990	0.00000000000000	2	0	2	7	0	7	     0	     0	     0			TraesCS1B03G0413600.2, TraesCS1D03G0322500.1
