Chromosome,Evidence,Nonredundant_validated_rows,Median_genomic_start_bp,Mean_genomic_start_bp,Min_genomic_start_bp,Max_genomic_start_bp,Median_genomic_start_Mb,Mean_genomic_start_Mb,Min_genomic_start_Mb,Max_genomic_start_Mb
Chr1A,HC,102754,378522004.0,341253344.1317418,58543,598561110,378.522004,341.25334413174187,0.058543,598.56111
Chr1A,LC,31211,370878822.0,333243481.21011823,41201,598363879,370.878822,333.2434812101182,0.041201,598.363879
Chr1B,HC,109319,416741381.0,383705077.1729068,168112,700379123,416.741381,383.7050771729068,0.168112,700.379123
Chr1B,LC,36930,370131610.0,362684550.54979694,520312,700376310,370.13161,362.68455054979694,0.520312,700.37631
Chr1D,HC,106363,303328497.0,277629765.8311161,20705,498609718,303.328497,277.62976583111606,0.020705,498.609718
Chr1D,LC,28367,268219882.0,267300229.3658124,20687,498498248,268.219882,267.3002293658124,0.020687,498.498248
Chr2A,HC,130347,501198336.0,423696430.376963,251216,787195194,501.198336,423.696430376963,0.251216,787.195194
Chr2A,LC,37449,426674296.0,411543887.2333841,249001,787082048,426.674296,411.5438872333841,0.249001,787.082048
Chr2B,HC,135074,444572919.0,414607941.84519595,29396,812720911,444.572919,414.60794184519597,0.029396,812.720911
Chr2B,LC,44983,418847767.0,415180094.709468,113609,812724460,418.847767,415.18009470946805,0.113609,812.72446
Chr2D,HC,133371,367806526.0,337055877.06210494,81486,656399532,367.806526,337.0558770621049,0.081486,656.399532
Chr2D,LC,36389,372169489.0,347334204.92107505,307945,656397474,372.169489,347.33420492107507,0.307945,656.397474
Chr3A,HC,121339,478300580.0,405605728.78802365,26772,754027813,478.30058,405.6057287880236,0.026772,754.027813
Chr3A,LC,34769,457330025.0,404920906.12171763,109656,754050779,457.330025,404.9209061217176,0.109656,754.050779
Chr3B,HC,129973,479411726.0,440587929.70770085,74006,851873079,479.411726,440.5879297077008,0.074006,851.873079
Chr3B,LC,44257,481015226.0,453814137.3405337,66880,851822590,481.015226,453.8141373405337,0.06688,851.82259
Chr3D,HC,128617,361377114.0,322818017.99750423,110201,619490011,361.377114,322.81801799750417,0.110201,619.490011
Chr3D,LC,30483,338270039.0,321560766.3709937,121439,619441473,338.270039,321.5607663709937,0.121439,619.441473
Chr4A,HC,114345,472806758.0,399853288.13727754,80753,754178416,472.806758,399.8532881372775,0.080753,754.178416
Chr4A,LC,36022,552511504.5,466314989.25029147,189937,754141599,552.5115045,466.3149892502915,0.189937,754.141599
Chr4B,HC,100161,395929656.0,345379207.2291311,244,673727718,395.929656,345.3792072291311,0.000244,673.727718
Chr4B,LC,30139,366038669.0,350716246.3740005,690282,673722692,366.038669,350.71624637400043,0.690282,673.722692
Chr4D,HC,97772,302947272.0,259466325.36848995,410358,514856857,302.947272,259.46632536848995,0.410358,514.856857
Chr4D,LC,23508,278453690.5,266294278.99332142,464134,512646336,278.4536905,266.2942789933214,0.464134,512.646336
Chr5A,HC,119968,464465905.5,417258013.11419713,13924,713330062,464.46590549999996,417.2580131141971,0.013924,713.330062
Chr5A,LC,36379,473918962.0,409574925.43849474,320159,713172935,473.918962,409.57492543849474,0.320159,713.172935
Chr5B,HC,127628,444708895.0,407345684.4728743,16318,714774033,444.708895,407.34568447287427,0.016318,714.774033
Chr5B,LC,38289,430100254.0,392092676.04967487,6650,714795420,430.100254,392.0926760496748,0.00665,714.79542
Chr5D,HC,128113,370145315.0,331987980.4933379,297066,569875777,370.145315,331.9879804933379,0.297066,569.875777
Chr5D,LC,32868,371195320.5,324712838.91125107,291193,569892303,371.1953205,324.7128389112511,0.291193,569.892303
Chr6A,HC,92529,405490644.0,335424052.2619071,118076,622585150,405.490644,335.4240522619071,0.118076,622.58515
Chr6A,LC,29976,298986599.5,303828544.8599213,4145,622591126,298.9865995,303.82854485992124,0.004145,622.591126
Chr6B,HC,101052,442599520.0,388108529.606559,4898,731066437,442.59952,388.108529606559,0.004898,731.066437
Chr6B,LC,39067,386587563.0,377074173.5545601,5675,730950773,386.587563,377.0741735545601,0.005675,730.950773
Chr6D,HC,91601,313069947.0,272327799.1716903,43504,495304993,313.069947,272.3277991716903,0.043504,495.304993
Chr6D,LC,24658,246942957.5,252541357.07385027,27358,495205351,246.9429575,252.5413570738503,0.027358,495.205351
Chr7A,HC,114156,320364019.5,354424446.5832895,237590,744483725,320.3640195,354.4244465832896,0.23759,744.483725
Chr7A,LC,38103,365412944.0,369138898.9035509,122054,744312979,365.412944,369.1388989035509,0.122054,744.312979
Chr7B,HC,108058,392793686.0,382214875.9413648,33340,764068236,392.793686,382.2148759413648,0.03334,764.068236
Chr7B,LC,39929,438572809.0,410124933.50462073,56572,764067061,438.572809,410.1249335046207,0.056572,764.067061
Chr7D,HC,116715,287389395.0,312489757.47100204,208449,642831821,287.389395,312.489757471002,0.208449,642.831821
Chr7D,LC,35872,300215071.5,311909187.9918042,173586,642831014,300.2150715,311.90918799180423,0.173586,642.831014
ChrUnknown,HC,15693,134767961.0,132440644.51405086,7635176,347551051,134.767961,132.44064451405086,7.635176,347.551051
ChrUnknown,LC,19215,215114082.0,189390689.34322146,806019,351238213,215.114082,189.39068934322145,0.806019,351.238213
