Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
TraesCS1A03G0203500.1	TraesCS1A03G0203500.1	TraesCS1A03G0203500.1		347	false	false		TraesCS1A03G0203500.1		17.29	1.0000	0.9990	0.00000000000000	2	0	1	21	0	11	     0	     0	     0			TraesCS1B03G0271900.1
TraesCS1A03G0235000.1	TraesCS1A03G0235000.1	TraesCS1A03G0235000.1		367	false	false		TraesCS1A03G0235000.1		12.26	1.0000	0.9990	0.00000000000000	2	0	2	8	0	8	     0	     0	     0			TraesCS1B03G0343800.1, TraesCS1D03G0251500.1
TraesCS1A03G0295000.3	TraesCS1A03G0295000.3	TraesCS1A03G0295000.3		765	false	false		TraesCS1A03G0295000.3		6.41	1.0000	0.9990	0.00000000000000	3	0	3	4	0	4	     0	     0	     0			TraesCS1A03G0295000.4, TraesCS1B03G0380000.1, TraesCS1B03G0380000.2, TraesCS1D03G0287300.1
TraesCS1A03G0428400.1	TraesCS1A03G0428400.1	TraesCS1A03G0428400.1		889	false	false		TraesCS1A03G0428400.1		7.09	1.0000	0.9989	0.00000000000000	3	0	3	4	0	4	     0	     0	     0	N-term(42.0106)		TraesCS1B03G0517800.1, TraesCS1D03G0404500.1
TraesCS1A03G0429500.1	TraesCS1A03G0429500.1	TraesCS1A03G0429500.1		169	false	false		TraesCS1A03G0429500.1		36.09	1.0000	0.9990	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			TraesCS1A03G0429500.2, TraesCS1B03G0521200.1
TraesCS1A03G0473200.1	TraesCS1A03G0473200.1	TraesCS1A03G0473200.1		602	false	false		TraesCS1A03G0473200.1		40.86	1.0000	0.9990	0.00000000000000	10	8	8	26	22	22	     0	     0	     0	5M(15.9949)		
TraesCS1A03G0585700.1	TraesCS1A03G0585700.1	TraesCS1A03G0585700.1		222	false	false		TraesCS1A03G0585700.1		39.19	1.0000	0.9990	0.00000000000000	3	0	3	12	0	12	     0	     0	     0	19M(15.9949), N-term(42.0106)		TraesCS1B03G0678100.1, TraesCS1D03G0556800.1
TraesCS1A03G0585900.1	TraesCS1A03G0585900.1	TraesCS1A03G0585900.1		394	false	false		TraesCS1A03G0585900.1		8.12	1.0000	0.9989	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			TraesCS1D03G0557500.1
TraesCS1A03G0586500.1	TraesCS1A03G0586500.1	TraesCS1A03G0586500.1		93	false	false		TraesCS1A03G0586500.1		29.03	1.0000	0.9988	0.00000000000000	2	0	2	11	0	11	     0	     0	     0			TraesCS1A03G0586900.1, TraesCS1D03G0558000.1
TraesCS1A03G0718600.1	TraesCS1A03G0718600.1	TraesCS1A03G0718600.1		648	false	false		TraesCS1A03G0718600.1		19.75	1.0000	0.9990	0.00000000000000	6	0	6	20	0	20	     0	     0	     0	1M(15.9949)		TraesCS1A03G0718600.2
