Chromosome,Evidence,Peptide_rows,Median_genomic_start,Mean_genomic_start,Min_genomic_start,Max_genomic_start
Chr1A,HC peptide,102785,378520882.0,341175441.1646544,58543,598561110
Chr1A,LC peptide,33210,370919131.5,333216973.447305,41201,598363879
Chr1B,HC peptide,109468,416739307.0,383403884.1307323,168112,700379123
Chr1B,LC peptide,39263,370917562.0,362479814.86022466,520312,700376310
Chr1D,HC peptide,106460,303287708.0,277558513.59619576,20705,498609718
Chr1D,LC peptide,30206,266404424.0,267242987.35790902,20687,498498248
Chr2A,HC peptide,130632,501782804.5,423870165.03614736,251216,787195194
Chr2A,LC peptide,39713,428628820.0,412160317.2537708,249001,787082048
Chr2B,HC peptide,135400,444573110.0,414631797.11691284,29396,812720911
Chr2B,LC peptide,47911,418945614.0,415582996.43342865,113609,812724460
Chr2D,HC peptide,133488,367807133.0,337183316.2778078,81486,656399532
Chr2D,LC peptide,38368,368739264.0,346826080.04574126,307945,656397474
Chr3A,HC peptide,121656,478300732.0,405524764.4738525,26772,754027813
Chr3A,LC peptide,37100,459791785.0,405873258.8704852,109656,754051399
Chr3B,HC peptide,130121,479411014.0,440545713.18588084,74006,851873079
Chr3B,LC peptide,47080,482879192.0,454410943.60832626,66880,851822590
Chr3D,HC peptide,128866,361378248.0,322783811.50332904,110201,619490011
Chr3D,LC peptide,32356,339257020.0,321851966.6863642,121439,619441473
Chr4A,HC peptide,114425,473058367.0,400025345.6288661,80753,754178416
Chr4A,LC peptide,38542,550173980.5,465118593.6445436,189937,754141599
Chr4B,HC peptide,100213,396066887.0,345435667.9252492,244,673727718
Chr4B,LC peptide,32078,366237711.5,350604366.35105056,690282,673722692
Chr4D,HC peptide,97823,302669143.0,259403136.1437903,410358,514856857
Chr4D,LC peptide,25021,277337249.0,265453860.7004516,464134,512646336
Chr5A,HC peptide,120079,464663231.0,417305094.4948159,13924,713330062
Chr5A,LC peptide,38594,472175707.0,408489955.7049282,216418,713172935
Chr5B,HC peptide,127808,444708895.0,407284057.704283,16318,714774033
Chr5B,LC peptide,40874,429771729.0,391675074.64079857,6650,714795420
Chr5D,HC peptide,128275,370144516.0,331986400.8427675,297066,569875777
Chr5D,LC peptide,34704,368267723.5,323668534.3311146,140015,569892303
Chr6A,HC peptide,92603,405490196.0,335330263.3279591,118076,622585150
Chr6A,LC peptide,31922,300300761.5,303919175.1096109,4145,622591126
Chr6B,HC peptide,101277,442599367.0,388018144.888642,4898,731066437
Chr6B,LC peptide,41642,387024324.0,377513548.8662408,5675,730950773
Chr6D,HC peptide,91764,312591135.0,272098218.9222135,43504,495304993
Chr6D,LC peptide,26041,247341006.0,252523816.1100572,27358,495205351
Chr7A,HC peptide,114245,320363391.0,354368887.6178039,237590,744483725
Chr7A,LC peptide,40572,364887518.0,368906336.50034505,122054,744312979
Chr7B,HC peptide,108202,392793308.5,382209167.1633796,33340,764068236
Chr7B,LC peptide,42639,438208974.0,409490276.98876613,56572,764067061
Chr7D,HC peptide,116863,287389395.0,312491244.0528311,208449,642831821
Chr7D,LC peptide,37946,305180074.5,312179601.99665314,173586,642831014
ChrUnknown,HC peptide,15757,134768042.0,132376819.94834042,7635176,347551051
ChrUnknown,LC peptide,20496,214922270.5,188548205.74043715,806019,351238213
