Source_Tissue,Track_order_inner_to_outer,Source,Tissue,Chromosome,Total_validated_mapped_peptide_rows,Sampled_points_plotted
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr1A,1478,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr1B,1648,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr1D,1462,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr2A,1239,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr2B,1421,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr2D,1322,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr3A,1244,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr3B,1474,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr3D,1380,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr4A,1587,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr4B,1389,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr4D,1332,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr5A,1524,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr5B,1686,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr5D,1494,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr6A,1093,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr6B,1307,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr6D,979,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr7A,1488,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr7B,1434,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,Chr7D,1449,100
MSV000090572_stored_grain,1,MSV000090572,stored_grain,ChrUnknown,462,100
PXD004720_anther,2,PXD004720,anther,Chr1A,7081,100
PXD004720_anther,2,PXD004720,anther,Chr1B,7440,100
PXD004720_anther,2,PXD004720,anther,Chr1D,7353,100
PXD004720_anther,2,PXD004720,anther,Chr2A,8475,100
PXD004720_anther,2,PXD004720,anther,Chr2B,8469,100
PXD004720_anther,2,PXD004720,anther,Chr2D,8506,100
PXD004720_anther,2,PXD004720,anther,Chr3A,7086,100
PXD004720_anther,2,PXD004720,anther,Chr3B,7839,100
PXD004720_anther,2,PXD004720,anther,Chr3D,7588,100
PXD004720_anther,2,PXD004720,anther,Chr4A,8512,100
PXD004720_anther,2,PXD004720,anther,Chr4B,7270,100
PXD004720_anther,2,PXD004720,anther,Chr4D,6955,100
PXD004720_anther,2,PXD004720,anther,Chr5A,8480,100
PXD004720_anther,2,PXD004720,anther,Chr5B,8758,100
PXD004720_anther,2,PXD004720,anther,Chr5D,8692,100
PXD004720_anther,2,PXD004720,anther,Chr6A,6830,100
PXD004720_anther,2,PXD004720,anther,Chr6B,7241,100
PXD004720_anther,2,PXD004720,anther,Chr6D,6461,100
PXD004720_anther,2,PXD004720,anther,Chr7A,7966,100
PXD004720_anther,2,PXD004720,anther,Chr7B,7019,100
PXD004720_anther,2,PXD004720,anther,Chr7D,7934,100
PXD004720_anther,2,PXD004720,anther,ChrUnknown,1512,100
PXD004720_boot,3,PXD004720,boot,Chr1A,590,50
PXD004720_boot,3,PXD004720,boot,Chr1B,598,50
PXD004720_boot,3,PXD004720,boot,Chr1D,598,50
PXD004720_boot,3,PXD004720,boot,Chr2A,699,50
PXD004720_boot,3,PXD004720,boot,Chr2B,683,50
PXD004720_boot,3,PXD004720,boot,Chr2D,680,50
PXD004720_boot,3,PXD004720,boot,Chr3A,518,50
PXD004720_boot,3,PXD004720,boot,Chr3B,618,50
PXD004720_boot,3,PXD004720,boot,Chr3D,581,50
PXD004720_boot,3,PXD004720,boot,Chr4A,753,50
PXD004720_boot,3,PXD004720,boot,Chr4B,567,50
PXD004720_boot,3,PXD004720,boot,Chr4D,631,50
PXD004720_boot,3,PXD004720,boot,Chr5A,678,50
PXD004720_boot,3,PXD004720,boot,Chr5B,759,50
PXD004720_boot,3,PXD004720,boot,Chr5D,735,50
PXD004720_boot,3,PXD004720,boot,Chr6A,486,50
PXD004720_boot,3,PXD004720,boot,Chr6B,544,50
PXD004720_boot,3,PXD004720,boot,Chr6D,483,50
PXD004720_boot,3,PXD004720,boot,Chr7A,613,50
PXD004720_boot,3,PXD004720,boot,Chr7B,579,50
PXD004720_boot,3,PXD004720,boot,Chr7D,631,50
PXD004720_boot,3,PXD004720,boot,ChrUnknown,113,50
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr1A,9128,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr1B,9246,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr1D,9368,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr2A,10873,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr2B,11151,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr2D,10840,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr3A,9010,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr3B,9953,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr3D,9852,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr4A,10088,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr4B,8901,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr4D,8537,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr5A,10468,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr5B,11069,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr5D,11438,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr6A,8080,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr6B,8823,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr6D,8063,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr7A,8900,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr7B,8257,150
PXD004720_coleoptile,4,PXD004720,coleoptile,Chr7D,9214,150
PXD004720_coleoptile,4,PXD004720,coleoptile,ChrUnknown,2005,150
PXD004720_embryo,5,PXD004720,embryo,Chr1A,356,50
PXD004720_embryo,5,PXD004720,embryo,Chr1B,447,50
PXD004720_embryo,5,PXD004720,embryo,Chr1D,411,50
PXD004720_embryo,5,PXD004720,embryo,Chr2A,363,50
PXD004720_embryo,5,PXD004720,embryo,Chr2B,389,50
PXD004720_embryo,5,PXD004720,embryo,Chr2D,387,50
PXD004720_embryo,5,PXD004720,embryo,Chr3A,452,50
PXD004720_embryo,5,PXD004720,embryo,Chr3B,471,50
PXD004720_embryo,5,PXD004720,embryo,Chr3D,424,50
PXD004720_embryo,5,PXD004720,embryo,Chr4A,472,50
PXD004720_embryo,5,PXD004720,embryo,Chr4B,385,50
PXD004720_embryo,5,PXD004720,embryo,Chr4D,390,50
PXD004720_embryo,5,PXD004720,embryo,Chr5A,473,50
PXD004720_embryo,5,PXD004720,embryo,Chr5B,546,50
PXD004720_embryo,5,PXD004720,embryo,Chr5D,464,50
PXD004720_embryo,5,PXD004720,embryo,Chr6A,342,50
PXD004720_embryo,5,PXD004720,embryo,Chr6B,358,50
